Evidence ID,Control ID,Evidence Request,Artifact Description,Evidence Owner,Request Date,Due Date,Received Date,Status,Evidence Period,File / Repository Location,In Repo?,Reviewer,Review Result,Evidence Level,Sufficiency,Exception,Follow-Up Required,Days Late,Notes
EVID-011,IA-2(1); IA-2(2),Membership of all MFA exemption groups with reason and approval,Okta group membership export MFA-Exempt-Legacy,Nadia Rahman,2026-06-10,2026-06-19,2026-06-30,Accepted,As of 2026-06-30,evidence/IA/EVID-011_okta-mfa-exempt-group_2026-06-30.csv,Yes,Lead assessor,"11 members (9 human, 2 service); 0 approvals or expiry dates",Implementation,Sufficient,,No,11,
EVID-012,IA-2(8),Enabled authenticator configuration,Okta authenticator settings export,Nadia Rahman,2026-06-10,2026-06-19,2026-06-30,Accepted,As of 2026-06-30,GRC-Vault:/WCP-2026/IA/EVID-012_okta-authenticators.json,No,Lead assessor,Only replay-resistant factors enabled; SMS/voice disabled,Implementation,Sufficient,,No,11,
EVID-013,AC-2; IA-5,"Service-account register with owner, purpose, credential type, and last rotation",Service account register v2026-06,Nadia Rahman,2026-06-10,2026-06-26,2026-07-08,Accepted,As of 2026-06-30,access-review/source-exports/service_accounts.csv,Yes,Lead assessor,Accepted after rework,Implementation,Sufficient,,No,12,First submission (2026-06-25) lacked owner and rotation columns; returned as Rework Required; accepted 2026-07-08
EVID-014,AC-5,Ledgerline role and permission matrix and SoD ruleset,Ledgerline security role report + SoD matrix,Laura Brenneman,2026-06-10,2026-06-19,2026-06-18,Accepted,Current,access-review/source-exports/sod_rules.csv,Yes,Lead assessor,Rules adequate; conflict detected in assignments,Design,Sufficient,,No,0,
EVID-015,AC-5,Monthly vendor-master change reports with reviewer sign-off (Jan–Jun),6 signed Ledgerline vendor-master change reports,Laura Brenneman,2026-06-10,2026-06-19,2026-06-22,Accepted,2026-01 to 2026-06,GRC-Vault:/WCP-2026/AC/EVID-015_vendor-master-reviews-H1.pdf,No,Lead assessor,6 of 6 signed by Controller within 10 days of month end; 2 bank-detail changes verified by callback,Operating Effectiveness,Sufficient,,No,3,
EVID-016,AC-6; AC-6(2); AC-6(5),AWS IAM Identity Center permission-set assignments for wcp-prod,Identity Center assignment export,Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-07-01,Accepted,As of 2026-06-30,access-review/source-exports/entitlements.csv,Yes,Lead assessor,Admin assignments exceed role definitions,Implementation,Sufficient,,No,12,
EVID-017,AC-6(5),GitHub organization owners and repository admins,GitHub org member export (role=owner/admin),Grace Lindqvist,2026-06-10,2026-06-19,2026-07-01,Accepted,As of 2026-06-30,access-review/source-exports/entitlements.csv,Yes,Lead assessor,5 owners vs maximum 3,Implementation,Sufficient,,No,12,
EVID-018,AC-17,Remote administrative access architecture and session logging configuration,SSM Session Manager preferences + network exposure report,Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-06-24,Accepted,As of 2026-06-30,GRC-Vault:/WCP-2026/AC/EVID-018_ssm-session-prefs.json,No,Lead assessor,Sessions logged and encrypted; no public bastions,Implementation,Sufficient,,No,5,
EVID-019,AT-2,LMS completion report for annual security awareness (full workforce) and phishing simulation results,LMS report + simulation summary,Denise Yamamoto,2026-06-10,2026-06-19,2026-06-26,Accepted,FY2026 cycle as of 2026-06-30,GRC-Vault:/WCP-2026/AT/EVID-019_lms-completion-2026-06-30.csv,No,Lead assessor,316 of 347 complete (91%); 4 overdue users hold PHI access,Operating Effectiveness,Sufficient,,No,7,
EVID-020,AT-3,"Role-based training completion for engineers, admins, clinical/support staff",LMS role-group reports,Denise Yamamoto,2026-06-10,2026-06-19,2026-06-26,Accepted,2026-01-01 to 2026-06-30,GRC-Vault:/WCP-2026/AT/EVID-020_role-training.csv,No,Lead assessor,15 of 15 sampled complete,Operating Effectiveness,Sufficient,,No,7,
EVID-021,AU-2,"Logging standard, trail configurations, and sample events for required types",LMS-004 + CloudTrail/EKS/app-audit configs + 10 traced events,Owen Castillo,2026-06-10,2026-06-19,2026-06-24,Accepted,As of 2026-06-30,GRC-Vault:/WCP-2026/AU/EVID-021_logging-config-and-samples.zip,No,Lead assessor,10 of 10 required event types present with required fields,Implementation,Sufficient,,No,5,
EVID-022,AU-6,All weekly privileged-activity review tickets W01–W26,SEC ticket export,Owen Castillo,2026-06-10,2026-06-19,2026-06-26,Accepted,2026-W01 to 2026-W26,evidence/AU/EVID-022_privileged-activity-reviews-2026H1.csv,Yes,Lead assessor,19 of 26 performed; 17 of 26 fully effective,Operating Effectiveness,Sufficient,,No,7,
EVID-023,AU-9,Log archive bucket protections and SCPs,S3 Object Lock config + bucket policy + SCP JSON,Owen Castillo,2026-06-10,2026-06-19,2026-06-24,Accepted,As of 2026-06-30,GRC-Vault:/WCP-2026/AU/EVID-023_log-archive-protections.json,No,Lead assessor,Compliance-mode Object Lock; StopLogging denied,Implementation,Sufficient,,No,5,
EVID-024,AU-11,Retention settings for every audit source plus oldest available record per source,SIEM retention setting + S3 lifecycle + CloudWatch retention + oldest-record queries,Owen Castillo,2026-06-10,2026-06-19,2026-06-25,Accepted,As of 2026-06-30,evidence/AU/EVID-024_log-retention-config_2026-06-30.json,Yes,Lead assessor,Retention 90–180 days vs 12-month requirement,Implementation,Sufficient,,No,6,
EVID-025,CA-2,Most recent SOC 2 Type II report and external penetration test report,SOC 2 Type II (2024-10-01 to 2025-09-30) + 2025 pentest summary and retest letter,Priya Raman,2026-06-10,2026-06-19,2026-06-12,Accepted,FY2025,GRC-Vault:/WCP-2026/CA/EVID-025_soc2-and-pentest.pdf,No,Lead assessor,Independent assessments at defined frequency,Operating Effectiveness,Sufficient,,No,0,
EVID-026,CA-3; SA-9,Quarrystone MSA/BAA and data sharing specification; 3 customer interface specs,Contracts + Data Sharing Specification v2 + 3 interface specs,Liam Porter,2026-06-10,2026-06-19,2026-06-19,Accepted,Current,GRC-Vault:/WCP-2026/CA/EVID-026_interconnection-agreements.zip,No,Lead assessor,Agreements present; Quarrystone terms inadequate (see VR-002/005),Design,Sufficient,,No,0,
EVID-027,CA-5; RA-7,Existing security issue tracking (pre-assessment),Jira SECISSUE export (37 items),Priya Raman,2026-06-10,2026-06-19,2026-06-15,Accepted,2025-07-01 to 2026-06-30,GRC-Vault:/WCP-2026/CA/EVID-027_secissue-export.csv,No,Lead assessor,100% with owner and due date; 4 overdue,Operating Effectiveness,Sufficient,,No,0,
EVID-028,CM-6; CA-7; SC-7; AC-17,Security Hub CIS benchmark results and finding history,Security Hub summary + finding history export,Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-06-24,Accepted,2026-01-01 to 2026-06-30,GRC-Vault:/WCP-2026/CM/EVID-028_securityhub.csv,No,Lead assessor,97% passing; 3 High findings untriaged > 30 days,Implementation,Sufficient,,No,5,
EVID-029,CM-2,Terraform baseline and AMI build specification; drift check output,Repo links + AMI pipeline spec + drift plan output (3 modules),Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-06-24,Accepted,As of 2026-06-30,GRC-Vault:/WCP-2026/CM/EVID-029_baseline.zip,No,Lead assessor,No drift in sampled modules,Implementation,Sufficient,,No,5,
EVID-030,CM-3,Population of production changes (212) and full records for the 25 sampled (seed 20260618),Jira CHG export + PR/deploy records,Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-06-29,Accepted,2026-01-01 to 2026-06-30,evidence/CM/EVID-030_change-sample-2026H1.csv,Yes,Lead assessor,3 of 25 exceptions,Operating Effectiveness,Sufficient,,No,10,
EVID-031,CM-8; RA-5,Asset inventory (AWS Config aggregator + MDM) with tag compliance,Config resource inventory + MDM export + tag-compliance report,Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-06-24,Accepted,As of 2026-06-30,GRC-Vault:/WCP-2026/CM/EVID-031_inventory.zip,No,Lead assessor,Complete; 93% owner-tag compliance,Implementation,Sufficient,,No,5,
EVID-032,CP-2,Current BC/DR plan,BCP-003 v2.1 (2025-11),Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-06-12,Accepted,Current version,GRC-Vault:/WCP-2026/CP/EVID-032_BCP-003_v2.1.pdf,No,Lead assessor,Adequate design with RTO 4h / RPO 1h,Design,Sufficient,,No,0,
EVID-033,CP-4,Contingency plan test records (last 24 months),2024-04 AZ failover engineering notes,Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-06-26,Insufficient,2024-07-01 to 2026-06-30,GRC-Vault:/WCP-2026/CP/EVID-033_az-failover-notes-2024.md,No,Lead assessor,No plan-level test within 12 months; notes are not an after-action report,Design,Insufficient,No CP test in period,Yes: POAM-014,7,
EVID-034,CP-9,"Backup plans, job history (30 days), vault protections",AWS Backup plan JSON + job history + Vault Lock config,Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-06-24,Accepted,2026-06-01 to 2026-06-30,GRC-Vault:/WCP-2026/CP/EVID-034_backup-config.zip,No,Lead assessor,30 of 30 jobs successful; Vault Lock compliance mode,Operating Effectiveness,Sufficient,,No,5,
EVID-035,CP-9(1),Backup restore test records,Backup job success notifications (no restore records),Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-06-26,Insufficient,2025-07-01 to 2026-06-30,GRC-Vault:/WCP-2026/CP/EVID-035_backup-job-notifications.pdf,No,Lead assessor,A successful backup job is not a tested restore,Implementation,Insufficient,No restore test ever documented,Yes: POAM-013,7,
EVID-036,IR-8,Current incident response plan with review history,IRP-005 v4.0 (reviewed 2025-11),Owen Castillo,2026-06-10,2026-06-19,2026-06-12,Accepted,Current version,GRC-Vault:/WCP-2026/IR/EVID-036_IRP-005_v4.0.pdf,No,Lead assessor,Current; stale contact roster (OBS-03),Design,Sufficient,,No,0,
EVID-037,IR-3,IR test/exercise records (last 24 months),2024-09-18 tabletop after-action report,Owen Castillo,2026-06-10,2026-06-19,2026-06-26,Insufficient,2024-07-01 to 2026-06-30,GRC-Vault:/WCP-2026/IR/EVID-037_tabletop-2024-09.pdf,No,Lead assessor,Most recent exercise 21 months before fieldwork,Design,Insufficient,No IR test in 12 months,Yes: POAM-014,7,
EVID-038,IR-4; IR-6; SI-3,All incident tickets for the period with timelines and notifications,Incident register export (6 incidents),Owen Castillo,2026-06-10,2026-06-19,2026-06-26,Accepted,2026-01-01 to 2026-06-30,evidence/IR/EVID-038_incident-tickets-2026H1.csv,Yes,Lead assessor,6 of 6 handled per plan; notification timely,Operating Effectiveness,Sufficient,,No,7,
EVID-039,MP-6,Certificates of destruction for all devices retired in the period,14 Coldwater certificates + MDM retired-device list,Kevin Brandt,2026-06-10,2026-06-19,2026-06-22,Accepted,2026-01-01 to 2026-06-30,GRC-Vault:/WCP-2026/MP/EVID-039_itad-certificates.pdf,No,Lead assessor,14 of 14 reconciled by serial,Operating Effectiveness,Sufficient,,No,3,
EVID-040,PE-3; MP-6; AC-18,Inherited-control record and provider attestation review log; boundary definition,Control inheritance record + 2026-03 attestation review note + boundary diagram,Priya Raman,2026-06-10,2026-06-19,2026-06-15,Accepted,Current,docs/scope/system-profile.md,Yes,Lead assessor,Inheritance documented and reviewed,Design,Sufficient,,No,0,
EVID-041,PL-2,Current system security plan,SSP v1.3 (2025-02),Priya Raman,2026-06-10,2026-06-19,2026-06-12,Accepted,Current version,GRC-Vault:/WCP-2026/PL/EVID-041_SSP_v1.3.pdf,No,Lead assessor,Outdated: 3 architecture changes missing; 27 of 61 controls overstated vs testing,Design,Sufficient,,No,0,
EVID-042,PM-9,Risk management strategy and Board-approved risk appetite,RMS-001 + Risk Appetite Statement (Board minutes 2025-10-21),Alicia Moreno,2026-06-10,2026-06-19,2026-06-12,Accepted,Current,GRC-Vault:/WCP-2026/PM/EVID-042_RMS-001_and_appetite.pdf,No,Lead assessor,Adequate; applied in RACC-001 and VR-001 escalation,Design,Sufficient,,No,0,
EVID-043,PS-3,Background-check completion for 15 sampled H1 hires/contractors,Screening vendor reports + Northgate attestations,Denise Yamamoto,2026-06-10,2026-06-19,2026-06-22,Accepted,2026-01-01 to 2026-06-30,GRC-Vault:/WCP-2026/PS/EVID-043_screening-sample.pdf,No,Lead assessor,15 of 15 screened before access,Operating Effectiveness,Sufficient,,No,3,
EVID-044,PS-5,All transfers in period with before/after access,PeopleHub transfer report (6) + access tickets,Denise Yamamoto,2026-06-10,2026-06-19,2026-06-22,Accepted,2026-01-01 to 2026-06-30,GRC-Vault:/WCP-2026/PS/EVID-044_transfers.csv,No,Lead assessor,1 of 6 retained prior-role PHI access,Operating Effectiveness,Sufficient,,No,3,
EVID-045,PS-7,Contractor roster with SOW start/end dates and scope,Northgate SOW register (5 contractors active in H1),Sofia Ricci,2026-06-10,2026-06-19,2026-06-22,Accepted,2026-01-01 to 2026-06-30,GRC-Vault:/WCP-2026/PS/EVID-045_contractor-sow-register.xlsx,No,Lead assessor,End dates not enforced in Okta; scope not mapped to access,Implementation,Sufficient,,No,3,
EVID-046,RA-2,FIPS 199 categorization worksheet with approval,Categorization worksheet (2025-06),Samir Haddad,2026-06-10,2026-06-19,2026-06-12,Accepted,Current,docs/scope/system-profile.md,Yes,Lead assessor,Moderate categorization confirmed,Design,Sufficient,,No,0,
EVID-047,RA-3,Most recent risk assessment,2025 HIPAA risk analysis report (2025-09),Priya Raman,2026-06-10,2026-06-19,2026-06-12,Accepted,FY2025,GRC-Vault:/WCP-2026/RA/EVID-047_risk-analysis-2025.pdf,No,Lead assessor,Adequate method; missed vendor offshore and retention risks,Design,Sufficient,,No,0,
EVID-048,RA-5; SI-2; SA-22,"All Critical/High vulnerability findings open at any point in H1, with detection and remediation dates",Scanner export (61 findings),Owen Castillo,2026-06-10,2026-06-19,2026-06-29,Accepted,2026-01-01 to 2026-06-30,evidence/RA/EVID-048_vuln-remediation-aging-2026H1.csv,Yes,Lead assessor,14 of 61 beyond SLA; 6 open past SLA,Operating Effectiveness,Sufficient,,No,10,
EVID-049,SA-9; SR-6,Vendor inventory with tiers and assessment dates,Vendor register (16 vendors),Beth Kowalski,2026-06-10,2026-06-19,2026-06-19,Accepted,As of 2026-06-30,vendor-risk/vendor-assessment.xlsx,Yes,Lead assessor,5 of 14 Tier 1–2 vendors overdue or never assessed,Implementation,Sufficient,,No,0,
EVID-050,SR-6; SA-9,Quarrystone SOC 2 Type II report and bridge letter,Quarrystone SOC 2 Type II (2024-10-01 to 2025-09-30) + bridge letter to 2026-03-31,Beth Kowalski,2026-06-10,2026-06-19,2026-06-30,Accepted,2024-10-01 to 2026-03-31,evidence/SR/EVID-050_quarrystone-soc2-review-workpaper.md,Yes,Lead assessor,Unqualified; 2 exceptions; subservice carve-outs; CUEC not performed by Wrenfield,Operating Effectiveness,Sufficient,,No,11,
EVID-051,SR-6,Quarrystone most recent penetration test report and retest evidence,Summary letter only (2025-03 test); full report and retest requested,Beth Kowalski (vendor-sourced),2026-07-08,2026-08-07,,Requested,2025-03,GRC-Vault:/WCP-2026/SR/EVID-051_pending,No,Lead assessor,Outstanding (vendor citing confidentiality; NDA review in progress),Design,Pending,Vendor has not produced the report,Yes: escalated through VP Clinical Analytics; condition in POAM-016,42,
EVID-052,SA-22,OS/database/runtime inventory with vendor support dates,Software lifecycle report,Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-06-26,Accepted,As of 2026-06-30,GRC-Vault:/WCP-2026/SA/EVID-052_eol-inventory.csv,No,Lead assessor,3 unsupported components identified,Implementation,Sufficient,,No,7,
EVID-053,SC-7; CM-6,Security group rules for wf-sftp-01 and all groups with 0.0.0.0/0 ingress,EC2 DescribeSecurityGroups export,Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-07-02,Accepted,As of 2026-07-02,evidence/CM/EVID-053_wf-sftp-01-security-group_2026-07-02.json,Yes,Lead assessor,RDP 3389 open to 0.0.0.0/0,Implementation,Sufficient,,No,13,
EVID-054,SC-8,TLS policies and database SSL enforcement; external TLS scan,ALB/CloudFront policies + RDS parameter group + TLS scan,Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-06-24,Accepted,As of 2026-06-30,GRC-Vault:/WCP-2026/SC/EVID-054_tls.zip,No,Lead assessor,TLS 1.2+ only; force_ssl on,Implementation,Sufficient,,No,5,
EVID-055,SC-12,"KMS key inventory, rotation, key policies",KMS ListKeys/GetKeyRotationStatus + policies,Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-06-24,Accepted,As of 2026-06-30,GRC-Vault:/WCP-2026/SC/EVID-055_kms.json,No,Lead assessor,9 of 9 rotation enabled,Implementation,Sufficient,,No,5,
EVID-056,SC-28,Encryption status for all data stores; endpoint encryption compliance,Config rule results + MDM encryption report,Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-06-24,Accepted,As of 2026-06-30,GRC-Vault:/WCP-2026/SC/EVID-056_encryption.zip,No,Lead assessor,100% encrypted,Implementation,Sufficient,,No,5,
EVID-057,SI-3,EDR coverage reconciled to inventory,EDR sensor export + reconciliation,Owen Castillo,2026-06-10,2026-06-19,2026-06-24,Accepted,As of 2026-06-30,GRC-Vault:/WCP-2026/SI/EVID-057_edr-coverage.csv,No,Lead assessor,358 of 362 endpoints (4 in provisioning); 100% servers,Implementation,Sufficient,,No,5,
EVID-058,SI-4; CA-7,Detection inventory and MDR triage metrics; 10 sample alerts,Rule inventory (41) + MDR monthly reports + alert samples,Owen Castillo,2026-06-10,2026-06-19,2026-06-26,Accepted,2026-01-01 to 2026-06-30,GRC-Vault:/WCP-2026/SI/EVID-058_monitoring.zip,No,Lead assessor,97% High alerts triaged within 30 min,Operating Effectiveness,Sufficient,,No,7,
EVID-059,SR-2,Approved C-SCRM plan,Draft outline (2 pages),Beth Kowalski,2026-06-10,2026-06-19,2026-06-19,Insufficient,Current,GRC-Vault:/WCP-2026/SR/EVID-059_cscrm-outline.docx,No,Lead assessor,Outline only; not approved,Design,Insufficient,No C-SCRM plan,Yes: POAM-015,0,
EVID-060,RA-7; AC-5; PM-9,Signed risk acceptance for SoD conflict,RACC-001 (signed CFO + CISO 2026-08-12),Laura Brenneman,2026-08-07,2026-08-14,2026-08-12,Accepted,2026-08-12 to 2027-03-31,risk/risk-acceptance/RACC-001.md,Yes,Lead assessor,Signed at correct authority level with compensating control,Design,Sufficient,,No,0,
EVID-061,AC-2; AC-2(3); PS-4; PS-5,Revocation tickets for AR-EX-01/02/04/12/13/14 and all terminations 2026-07-01 to 2026-09-09 with de-provisioning timestamps,Jira IT tickets + Okta/portal deactivation records,Nadia Rahman,2026-08-15,2026-09-10,2026-09-10,Closed,2026-07-01 to 2026-09-09,evidence/AC/EVID-061_terminations-and-deactivations_2026-07-01_to_09-09.csv,Yes,Lead assessor,7 of 7 terminations within 24h; all revocations verified in post-change exports,Operating Effectiveness,Sufficient,,No,0,
EVID-062,AC-2(1); AC-2(3),HR-to-Okta reconciliation job design and last 5 run outputs,Job output 2026-09-04 to 2026-09-10 + job runbook,Nadia Rahman,2026-08-15,2026-09-10,2026-09-10,Closed,2026-09-04 to 2026-09-10,evidence/AC/EVID-062_hr-okta-reconciliation-job_2026-09-10.csv,Yes,Lead assessor,0 exceptions across 5 runs; covers Okta + AWS IAM + portal + contractor end dates,Operating Effectiveness,Sufficient,,No,0,
EVID-063,IA-2(1); IA-2(2),Okta policy export after remediation + group deletion record,Okta Policies API export 2026-09-04,Nadia Rahman,2026-08-15,2026-09-05,2026-09-04,Closed,As of 2026-09-04,evidence/IA/EVID-063_okta-authentication-policies_2026-09-04.json,Yes,Lead assessor,Exemption policy/group deleted; admin apps phishing-resistant; password-only sign-in denied (re-performed),Implementation,Sufficient,,No,0,
EVID-064,IA-2(1); IA-5; AC-2(3),AWS IAM credential report after remediation,IAM credential report 2026-09-04,Tomasz Wierzbicki,2026-08-15,2026-09-05,2026-09-04,Closed,As of 2026-09-04,evidence/IA/EVID-064_aws-iam-credential-report_2026-09-04.csv,Yes,Lead assessor,"Only break-glass IAM user remains (hardware MFA, no keys)",Implementation,Sufficient,,No,0,
EVID-065,AC-2; IA-5,"Updated service-account register showing owners, rotation, federation changes",Service account register v2026-09 + change tickets,Nadia Rahman,2026-08-15,2026-09-12,2026-09-11,Closed,As of 2026-09-11,GRC-Vault:/WCP-2026/IA/EVID-065_service-register-v2026-09.csv,No,Lead assessor,All 13 owned; stale credentials rotated or federated; shared EDR login disabled,Implementation,Sufficient,,No,0,
EVID-066,PS-7,Contractor end-date sync report and SOW amendment,Okta account-expiry report + SOW 2025-061 amendment 1,Sofia Ricci,2026-08-15,2026-09-10,2026-09-08,Closed,As of 2026-09-08,GRC-Vault:/WCP-2026/PS/EVID-066_contractor-expiry.csv,No,Lead assessor,All contractor accounts carry expiry = SOW end date; awu amendment executed 2026-07-22,Implementation,Sufficient,,No,0,
EVID-067,AU-11,Retention configuration after change + oldest-record checks,S3 lifecycle + CloudWatch subscription + SIEM archive config + object age query,Owen Castillo,2026-08-15,2026-09-15,2026-09-12,Closed,As of 2026-09-12,evidence/AU/EVID-067_log-retention-config_2026-09-12.json,Yes,Lead assessor,400-day retention; objects from 2026-03-20 still present (182 days),Implementation,Sufficient,,No,0,
EVID-068,SC-7; CM-6,Security group change record and Security Hub re-evaluation,CHG-2026-0521 + SG export + Security Hub PASSED status,Tomasz Wierzbicki,2026-07-02,2026-07-10,2026-07-10,Closed,As of 2026-07-10,GRC-Vault:/WCP-2026/SC/EVID-068_sg-fix.zip,No,Lead assessor,3389 rule removed; admin via SSM only; finding PASSED,Implementation,Sufficient,,No,0,
EVID-069,CP-9(1),Restore test record with timings and integrity checks,Restore test record 2026-08-27 (assessor observed),Tomasz Wierzbicki,2026-08-15,2026-09-01,2026-08-28,Closed,2026-08-27,evidence/CP/EVID-069_restore-test-record_2026-08-27.md,Yes,Lead assessor,RTO 3h41m (target 4h); data loss 11 min (RPO 1h); integrity checks passed,Operating Effectiveness,Sufficient,,No,0,
EVID-070,AT-2,LMS completion report after enforcement,LMS report 2026-09-12 (344 of 347; 3 on leave),Denise Yamamoto,2026-08-15,2026-09-15,2026-09-14,Under Review,As of 2026-09-12,GRC-Vault:/WCP-2026/AT/EVID-070_lms-completion-2026-09-12.csv,No,Lead assessor,In review: verifying leave records for 3 exceptions against PeopleHub,Operating Effectiveness,Pending,,Yes: complete review by 2026-09-25,0,
EVID-071,AC-6; AC-6(5),Just-in-time elevation workflow design and a live elevation record,Design doc + screenshot of approval screen,Tomasz Wierzbicki,2026-08-15,2026-09-12,2026-09-11,Rework Required,As of 2026-09-10,GRC-Vault:/WCP-2026/AC/EVID-071_jit-design.pdf,No,Lead assessor,"Screenshot does not show a live elevation, approver, session expiry, or CloudTrail record",Design,Insufficient (rework),Design-only evidence for an operating control,Yes: provide a live elevation record with CloudTrail AssumeRole event and auto-expiry,0,
EVID-072,AU-6,Weekly review tickets W27–W37 after the backup-reviewer change,SEC ticket export W27–W37,Owen Castillo,2026-08-15,2026-09-15,2026-09-16,Received,2026-W27 to 2026-W37,GRC-Vault:/WCP-2026/AU/EVID-072_reviews-W27-W37.csv,No,Lead assessor,Not yet reviewed (received after the due date),Operating Effectiveness,Pending,,Yes: review by 2026-09-25,1,
