Test Procedure ID,Control ID,Control Name,Method,Assessment Object / Procedure,Expected Result,Actual Result,Step Result,Evidence,Control Determination,Deficiency,Related Finding,Worksheet
TP-AC-6(5)-04,AC-6(5),Privileged Accounts,Test,PROGRESS CHECK (2026-09-03): post-change assignment exports,Holders equal defined roles,Excess grants removed; twierzbicki still on daily account; JIT evidence design-only (EVID-071 returned),Fail,"EVID-075, EVID-076, EVID-077, EVID-071",Other Than Satisfied,Privileged holders exceed defined roles; separate admin accounts not in place.,FIND-003,docs/assessment/worksheets/AC-6-5.md
TP-AC-6(7)-01,AC-6(7),Review of User Privileges,Examine,Inspect evidence of the Q1 review,"Population, reviewer, decision, timestamp, resulting changes",First submission was a completion screenshot (EVID-009): Insufficient. Export obtained (EVID-008),Info,"EVID-009, EVID-008",Other Than Satisfied,Scope incomplete; reviews not effective.,FIND-004,docs/assessment/worksheets/AC-6-7.md
TP-AC-6(7)-02,AC-6(7),Review of User Privileges,Test,Compare campaign scope to the privileged entitlement population,All privileged and PHI entitlements in scope,"Only Okta app assignments; AWS, GitHub, DB, and local accounts excluded",Fail,EVID-008 vs EVID-006,Other Than Satisfied,Scope incomplete; reviews not effective.,FIND-004,docs/assessment/worksheets/AC-6-7.md
TP-AC-6(7)-03,AC-6(7),Review of User Privileges,Test,"Analyze decision patterns (approval rate, time per reviewer) and re-test 2 approved items",Evidence of meaningful review; approved items valid,412 of 412 approved; 17 of 23 reviewers < 5 min; approved rgupta2 (duplicate) and cfernandes support access (post-transfer),Fail,EVID-008,Other Than Satisfied,Scope incomplete; reviews not effective.,FIND-004,docs/assessment/worksheets/AC-6-7.md
TP-AC-6(7)-04,AC-6(7),Review of User Privileges,Interview,Ask 3 reviewers what they checked,Reviewers check need against role,'I approved my team's list; I assumed IT knew what they needed',Fail,Interview notes 2026-06-25,Other Than Satisfied,Scope incomplete; reviews not effective.,FIND-004,docs/assessment/worksheets/AC-6-7.md
TP-IA-2(1)-01,IA-2(1),Multi-factor Authentication to Privileged Accounts,Examine,Inspect Okta global session and app policies for exclusions,MFA required with no unapproved exclusions,Everyone except MFA-Exempt-Legacy (11 members; 0 approvals),Fail,"EVID-010, EVID-011",Other Than Satisfied (remediation validated 2026-09-05),Bypassable MFA for privileged access.,FIND-002,docs/assessment/worksheets/IA-2-1.md
TP-IA-2(1)-02,IA-2(1),Multi-factor Authentication to Privileged Accounts,Test,Cross-reference exempt members with privileged role holders,No privileged user exempt,kbrandt (Okta Super Administrator) exempt,Fail,"EVID-011, EVID-006",Other Than Satisfied (remediation validated 2026-09-05),Bypassable MFA for privileged access.,FIND-002,docs/assessment/worksheets/IA-2-1.md
TP-IA-2(1)-03,IA-2(1),Multi-factor Authentication to Privileged Accounts,Test,Inspect AWS credential report for console users without MFA,None,"mfeld-admin: password enabled, mfa_active=false, AdministratorAccess",Fail,EVID-007,Other Than Satisfied (remediation validated 2026-09-05),Bypassable MFA for privileged access.,FIND-002,docs/assessment/worksheets/IA-2-1.md
TP-IA-2(1)-04,IA-2(1),Multi-factor Authentication to Privileged Accounts,Test,"VALIDATION: policy export, group lookup, password-only sign-in attempt with test account, credential report",No exemption path; attempt denied; only break-glass IAM user,Group and policy deleted; attempt denied; only aws-breakglass (hardware MFA),Pass,"EVID-063, EVID-064",Other Than Satisfied (remediation validated 2026-09-05),Bypassable MFA for privileged access.,FIND-002,docs/assessment/worksheets/IA-2-1.md
TP-AU-6-01,AU-6,"Audit Record Review, Analysis, and Reporting",Examine,Review LMS-004 §6 review requirements and the SIEM report definition,Weekly review of all privileged principals,Weekly defined; report scope excluded local AWS IAM users,Fail,EVID-021,Other Than Satisfied,Single point of failure in a key detective control.,FIND-009,docs/assessment/worksheets/AU-6.md
TP-AU-6-02,AU-6,"Audit Record Review, Analysis, and Reporting",Test,"Test all 26 weeks for existence, timeliness (5 days), and disposition of flagged items",26 of 26 effective,19 performed; 17 effective (65%); 7 missed; 2 incomplete,Fail,EVID-022; test-results/au6-log-review.md,Other Than Satisfied,Single point of failure in a key detective control.,FIND-009,docs/assessment/worksheets/AU-6.md
TP-AU-6-03,AU-6,"Audit Record Review, Analysis, and Reporting",Interview,Ask about backup coverage and escalation,Backup reviewer and escalation defined,No backup; missed weeks not escalated,Fail,Interview notes 2026-06-23,Other Than Satisfied,Single point of failure in a key detective control.,FIND-009,docs/assessment/worksheets/AU-6.md
TP-AU-11-01,AU-11,Audit Record Retention,Examine,Identify required retention,Requirement defined,12 months (SHCA CSA §4.1); internal standard said 180 days,Info,REQ-005,Other Than Satisfied (remediation validated 2026-09-12),Retention below contractual requirement.,FIND-008,docs/assessment/worksheets/AU-11.md
TP-AU-11-02,AU-11,Audit Record Retention,Examine,Inspect retention settings for all 5 audit sources,>= 12 months,CloudTrail 180d; app audit 90d; SIEM 90d; EKS audit 180d; Okta via SIEM 90d,Fail,EVID-024,Other Than Satisfied (remediation validated 2026-09-12),Retention below contractual requirement.,FIND-008,docs/assessment/worksheets/AU-11.md
TP-AU-11-03,AU-11,Audit Record Retention,Test,Query oldest available record per source (detects hidden longer retention),Oldest record age >= 12 months,Oldest records matched settings exactly,Fail,EVID-024,Other Than Satisfied (remediation validated 2026-09-12),Retention below contractual requirement.,FIND-008,docs/assessment/worksheets/AU-11.md
TP-AU-11-04,AU-11,Audit Record Retention,Test,VALIDATION: inspect new config; confirm a 182-day-old object survives past the old 180-day rule,400-day policy active; object present,Policy active; 2026-03-20 object present on 2026-09-17,Pass,EVID-067,Other Than Satisfied (remediation validated 2026-09-12),Retention below contractual requirement.,FIND-008,docs/assessment/worksheets/AU-11.md
TP-CM-3-01,CM-3,Configuration Change Control,Examine,Review CMP-006 change types and emergency rules,Defined,"Standard, Normal, Emergency defined; emergency retro-approval within 2 business days",Pass,CMP-006,Other Than Satisfied,Emergency and console change paths bypass approval.,FIND-018,docs/assessment/worksheets/CM-3.md
TP-CM-3-02,CM-3,Configuration Change Control,Test,"Random sample 25 of 212 production changes (seed 20260618); verify approval before deploy, peer review, test evidence",25 of 25 compliant,"22 of 25; exceptions CHG-2026-0412, -0288, -0356",Fail,EVID-030; test-results/cm3-change-sample.md,Other Than Satisfied,Emergency and console change paths bypass approval.,FIND-018,docs/assessment/worksheets/CM-3.md
TP-CM-3-03,CM-3,Configuration Change Control,Interview,Ask how console changes are captured,Console changes detected and routed to change process,No detection; relies on engineers raising tickets,Fail,Interview notes 2026-06-24,Other Than Satisfied,Emergency and console change paths bypass approval.,FIND-018,docs/assessment/worksheets/CM-3.md
TP-CP-9(1)-01,CP-9(1),Testing for Reliability and Integrity,Examine,Request restore test records for the last 12 months,At least 1 documented restore with integrity checks,Only backup-job success notifications (EVID-035: Insufficient),Fail,EVID-035,Other Than Satisfied (remediation validated 2026-09-01),Recoverability never demonstrated.,FIND-013,docs/assessment/worksheets/CP-9-1.md
TP-CP-9(1)-02,CP-9(1),Testing for Reliability and Integrity,Interview,Ask when a restore was last performed,Within 12 months,'We've never needed to restore the main DB; the jobs always succeed',Fail,Interview notes 2026-06-30,Other Than Satisfied (remediation validated 2026-09-01),Recoverability never demonstrated.,FIND-013,docs/assessment/worksheets/CP-9-1.md
TP-CP-9(1)-03,CP-9(1),Testing for Reliability and Integrity,Test,VALIDATION: observe restore of wcp-core-db from wcp-dr vault into isolated account; time it; run row-count and checksum validation on 12 tables,Restore within RTO 4h; data loss within RPO 1h; integrity checks pass,3h41m; 11 min data loss; 12 of 12 tables validated,Pass,EVID-069,Other Than Satisfied (remediation validated 2026-09-01),Recoverability never demonstrated.,FIND-013,docs/assessment/worksheets/CP-9-1.md
TP-IR-3-01,IR-3,Incident Response Testing,Examine,Request exercise records for 24 months,Exercise within 12 months with after-action items,Last exercise 2024-09-18 (21 months),Fail,EVID-037,Other Than Satisfied,IR capability not tested in the period.,FIND-014,docs/assessment/worksheets/IR-3.md
TP-IR-3-02,IR-3,Incident Response Testing,Interview,Ask the Privacy Officer to walk the SHCA 24h notification path,"Rehearsed, documented path",Path known conceptually; not documented in IRP-005; never rehearsed,Fail,Interview notes 2026-07-15,Other Than Satisfied,IR capability not tested in the period.,FIND-014,docs/assessment/worksheets/IR-3.md
TP-IR-3-03,IR-3,Incident Response Testing,Test,Cross-check real incident handling (IR-4) as a mitigating factor,Info only,7 of 7 incidents handled per plan; mitigating but not a substitute for testing major-incident paths,Info,"EVID-038, EVID-078",Other Than Satisfied,IR capability not tested in the period.,FIND-014,docs/assessment/worksheets/IR-3.md
TP-SI-2-01,SI-2,Flaw Remediation,Examine,Review VM-003 SLAs and exception process,SLAs match CSA §7.1; exception process defined,Matches; exception process in §7,Pass,VM-003,Other Than Satisfied,Remediation timeliness below SLA; exception process unused.,FIND-010,docs/assessment/worksheets/SI-2.md
TP-SI-2-02,SI-2,Flaw Remediation,Test,Compute SLA adherence for all 61 Critical/High findings in H1,100% within SLA or with approved exception,47 of 61 (77%) within SLA; 14 breached; 0 exceptions filed,Fail,EVID-048; test-results/si2-vuln-sla.md,Other Than Satisfied,Remediation timeliness below SLA; exception process unused.,FIND-010,docs/assessment/worksheets/SI-2.md
TP-SI-2-03,SI-2,Flaw Remediation,Interview,Discuss the 2 open Critical findings with Engineering,Remediation plan or approved exception,Engineering asserts no reachable path; no analysis documented; no exception filed,Fail,Interview notes 2026-06-29,Other Than Satisfied,Remediation timeliness below SLA; exception process unused.,FIND-010,docs/assessment/worksheets/SI-2.md
TP-SA-22-01,SA-22,Unsupported System Components,Test,Compare the OS/DB/runtime inventory to vendor lifecycle dates,0 unsupported components,"3 unsupported (Windows 2012 R2, PostgreSQL 11, Node.js 16)",Fail,EVID-052,Other Than Satisfied,Unsupported components in the PHI path.,FIND-011,docs/assessment/worksheets/SA-22.md
TP-SA-22-02,SA-22,Unsupported System Components,Examine,Look for alternative support (extended security updates) or SHCA-approved exceptions,Documented alternative or exception,None,Fail,EVID-052,Other Than Satisfied,Unsupported components in the PHI path.,FIND-011,docs/assessment/worksheets/SA-22.md
TP-SA-22-03,SA-22,Unsupported System Components,Examine,Assess compensating controls on wf-sftp-01,Info only,"EDR, allowlist, weekly scans; RDP exposure found (FIND-012) then closed",Info,"EVID-053, EVID-068",Other Than Satisfied,Unsupported components in the PHI path.,FIND-011,docs/assessment/worksheets/SA-22.md
TP-SR-6-01,SR-6,Supplier Assessments and Reviews,Test,Compare last-assessed dates for all 14 Tier 1–2 vendors to their tier frequency,14 of 14 current,9 of 14 current; 5 overdue or never assessed,Fail,EVID-049,Other Than Satisfied,Supplier reviews overdue; self-attestation missed a Critical issue.,FIND-015; FIND-016,docs/assessment/worksheets/SR-6.md
TP-SR-6-02,SR-6,Supplier Assessments and Reviews,Examine,"Review Quarrystone SOC 2: opinion, exceptions, carve-outs, CUECs",Info,Unqualified; 2 exceptions; 2 carve-outs; CUEC for portal user review not performed by Wrenfield,Info,EVID-050,Other Than Satisfied,Supplier reviews overdue; self-attestation missed a Critical issue.,FIND-015; FIND-016,docs/assessment/worksheets/SR-6.md
TP-SR-6-03,SR-6,Supplier Assessments and Reviews,Interview,Interview Quarrystone CISO on subcontractors and data location,Answers consistent with questionnaire,Revealed undisclosed offshore subcontractor with production access (contradicts questionnaire),Fail,Interview notes 2026-07-14,Other Than Satisfied,Supplier reviews overdue; self-attestation missed a Critical issue.,FIND-015; FIND-016,docs/assessment/worksheets/SR-6.md
TP-SR-6-04,SR-6,Supplier Assessments and Reviews,Examine,Request the pentest report and retest,Current test with retest,Summary letter only; still outstanding,Fail,EVID-051,Other Than Satisfied,Supplier reviews overdue; self-attestation missed a Critical issue.,FIND-015; FIND-016,docs/assessment/worksheets/SR-6.md
TP-SC-28-01,SC-28,Protection of Information at Rest,Examine,Identify PHI data stores from the boundary and inventory,Complete list,"Aurora, 6 S3 buckets, EBS, backup vault, wf-sftp-01 volume, legacy-reports volume, laptops",Pass,EVID-031,Satisfied,,,docs/assessment/worksheets/SC-28.md
TP-SC-28-02,SC-28,Protection of Information at Rest,Test,"Query encryption status of every RDS, S3, and EBS resource (AWS Config rules)",100% encrypted with KMS,100% (encryption by default enforced at account level),Pass,EVID-056,Satisfied,,,docs/assessment/worksheets/SC-28.md
TP-SC-28-03,SC-28,Protection of Information at Rest,Test,Reconcile MDM encryption compliance to endpoint inventory,100% of 362,362 of 362 FileVault/BitLocker enabled,Pass,EVID-056,Satisfied,,,docs/assessment/worksheets/SC-28.md
