Control ID,Control Family,Control Name,Baseline (SP 800-53B),Control Requirement Summary,Applicability,Applicability Rationale,Control Origination,System / Process,Control Owner,Business Requirements (REQ),Implementation Status (Owner-Stated),Implementation Status (Assessor-Validated),Status Changed by Assessor?,Implementation Description,Evidence Required,Evidence Available (EVID),Evidence Location,Highest Evidence Level,Testing Method,Test Procedure / Expected vs Actual,Assessment Result,Gap Identified,Risk Rating,Related Risk ID,Related Finding ID,Related POA&M ID,POA&M Status (as of status date),Observations,Last Reviewed,Next Review,CSF 2.0 Function (informal),Notes
AC-18,AC - Access Control,Wireless Access,Moderate,Establish configuration and connection requirements for wireless access and authorize it before allowing connections.,Not Applicable,No wireless networking exists within the WCP-PROD boundary (AWS-hosted). Office Wi-Fi is outside the boundary and has no privileged path to production; production access from any network requires Okta SSO+MFA. Re-examine if the boundary changes.,n/a,n/a,"Tomasz Wierzbicki (Director, Platform Engineering)",REQ-001,Not Applicable,Not Applicable,No,n/a (see applicability rationale),Boundary definition confirming no wireless components,EVID-040,docs/scope/system-profile.md,Design,Examine,Examined the boundary diagram and the AWS network inventory. No wireless components are inside the boundary. N/A determination recorded in the scope statement.,Not Assessed,,,,,,n/a,,2026-07-17,2027-07-15,PR,
AT-2,AT - Awareness and Training,Literacy Training and Awareness,Moderate,Provide security and privacy literacy training to users at onboarding and at a defined frequency after that; include practical exercises (such as phishing simulations); update content after defined events.,Applicable,,Common (organization-wide),All workforce,Denise Yamamoto (Director of People),REQ-015,Implemented,Partially Implemented,Yes,"Annual HIPAA and security awareness module in the LMS, plus quarterly phishing simulations. Policy requires completion within 30 days of assignment and suspends access after 30 days overdue, but the suspension is not enforced.",LMS completion report for the full workforce; phishing simulation results; escalation records,EVID-019,GRC-Vault:/WCP-2026/AT/EVID-019_lms-completion-2026-06-30.csv,Operating Effectiveness,"Examine, Test","Compared the LMS roster (347) to the Okta active population. Expected: 100% completion (or documented exceptions). Actual: 316 of 347 (91%); 31 overdue, 4 of them with PHI data-store access. Phishing simulations ran 2 of 2 quarters (click rate 6.1% to 4.3%). Post-remediation: 344 of 347 (3 on leave) is under review (EVID-070).",Other Than Satisfied,Completion enforcement not operating.,Low,RISK-015,FIND-019,POAM-019,POAM-019: Completed – Pending Validation,,2026-07-17,2026-10-15,GV,
AT-3,AT - Awareness and Training,Role-based Training,Moderate,"Provide role-based security and privacy training to personnel with assigned roles before authorizing access, and at a defined frequency after that.",Applicable,,Common (organization-wide),"Engineering, SRE, Clinical Ops, Security",Denise Yamamoto (Director of People),REQ-015,Implemented,Implemented,No,Secure-coding training (annual) for engineers; privileged-user training for admins; HIPAA minimum-necessary training for clinical and support staff. Tracked in the LMS by role group.,Role-based curricula and completion by role group,EVID-020,GRC-Vault:/WCP-2026/AT/EVID-020_role-training.csv,Operating Effectiveness,"Examine, Test","Sampled 15 role holders (5 engineers, 5 admins, 5 support/clinical). Expected: role training complete before access, or within 30 days of the role change. Actual: 15 of 15 complete. One admin completed 9 days after receiving admin access, within the 30-day grace in the training standard.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,GV,
AU-2,AU - Audit and Accountability,Event Logging,Moderate,Identify the event types the system can log; coordinate logging with other entities; specify the event types to be logged; review and update the selection at a defined frequency.,Applicable,,System-specific,"SYS-01, SYS-02, SYS-03, SYS-04",Owen Castillo (Security Engineer),REQ-019; REQ-005,Implemented,Implemented,No,"Logging & Monitoring Standard LMS-004 defines required events. Sources include the AWS Organizations CloudTrail trail (management and S3 data events for PHI buckets), EKS audit logs, Aurora database activity logging for PHI tables, the application audit catalog (PHI view/export/print events with user, patient ID, and timestamp), and Okta and GitHub audit logs forwarded to the SIEM.",Logging standard; trail configurations; sample events for each required type,EVID-021,GRC-Vault:/WCP-2026/AU/EVID-021_logging-config-and-samples.zip,Implementation,"Examine, Test","Traced 10 required event types (for example, PHI record view, bulk export, IAM policy change, Okta admin role grant) from action to SIEM. Expected: each event recorded with who, what, when, and where. Actual: 10 of 10 found with required fields. The event catalog was last reviewed 2026-02.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,DE,
AU-6,AU - Audit and Accountability,"Audit Record Review, Analysis, and Reporting",Moderate,Review and analyze audit records at a defined frequency for signs of inappropriate or unusual activity; report findings to defined personnel; adjust review when risk changes.,Applicable,,System-specific,"SYS-01, SYS-02, SYS-08",Owen Castillo (Security Engineer),REQ-019; REQ-005,Implemented,Partially Implemented,Yes,"MDR monitors alerts 24x7 (SI-4). Separately, LMS-004 §6 requires a weekly human review of privileged activity (AWS admin actions, Okta admin changes, GitHub owner actions), documented in a SEC ticket. One primary reviewer, no designated backup.",Weekly review tickets for the whole period with dispositions,EVID-022; EVID-072,evidence/AU/EVID-022_privileged-activity-reviews-2026H1.csv; GRC-Vault:/WCP-2026/AU/EVID-072_reviews-W27-W37.csv,Operating Effectiveness,"Examine, Test","Tested all 26 weeks (test-results/au6-log-review.md). Expected: 26 of 26 performed within 5 days with every flag dispositioned. Actual: 19 performed and 17 fully effective (65%). 7 weeks were missed (migration, PTO) and 2 reviews were marked 'reviewed' with undispositioned flags. The review scope also excluded local IAM users.",Other Than Satisfied,Key detective review has a single point of failure and incomplete scope.,Moderate,RISK-005,FIND-009,POAM-009,POAM-009: In Progress,,2026-07-17,2026-10-31,DE,
AU-9,AU - Audit and Accountability,Protection of Audit Information,Moderate,"Protect audit information and logging tools from unauthorized access, modification, and deletion; alert on detected unauthorized access, modification, or deletion.",Applicable,,System-specific,SYS-01,Owen Castillo (Security Engineer),REQ-019,Implemented,Implemented,No,"CloudTrail and audit logs are delivered to a dedicated log-archive account. The S3 bucket uses Object Lock in compliance mode, a bucket policy denying deletes, and an SCP blocking StopLogging and DeleteTrail for all non-break-glass principals. The SIEM admin role is limited to 1 person, plus MDR read access.",Log bucket configuration; SCPs; access list for the log account,EVID-023,GRC-Vault:/WCP-2026/AU/EVID-023_log-archive-protections.json,Implementation,"Examine, Test","Examined Object Lock and the SCPs. Using the assessor's read-only role, confirmed an attempt to call cloudtrail:StopLogging returns AccessDenied (explicit SCP deny). Expected: logs are immutable to operational admins. Actual: met.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,DE,
AU-11,AU - Audit and Accountability,Audit Record Retention,Moderate,Retain audit records for a defined period consistent with records-retention policy to support after-the-fact investigations and meet regulatory and organizational retention requirements.,Applicable,,System-specific,"SYS-01, SYS-08",Owen Castillo (Security Engineer),REQ-005; REQ-019,Implemented,Partially Implemented,Yes,At assessment: SIEM hot retention 90 days; the log-archive S3 lifecycle expired CloudTrail at 180 days; CloudWatch application-audit (PHI access) logs were kept 90 days with no archive. The CSA requires 12 months (90 days searchable).,"Retention settings for every audit source, and confirmation that the oldest available records match the setting",EVID-024; EVID-067,evidence/AU/EVID-024_log-retention-config_2026-06-30.json; evidence/AU/EVID-067_log-retention-config_2026-09-12.json,Implementation,"Examine, Test","Examined the retention configuration for 5 sources and queried the oldest available record in each. Expected: 12 months or more for all. Actual: CloudTrail 180 days, app audit 90 days, SIEM 90 days (the oldest records matched the settings, so there was no hidden longer retention). Validation (2026-09-12): lifecycle changed to a 400-day expiry, app audit is archived to log-archive, and objects dated 2026-03-20 (182 days old) are still present, confirming the old rule no longer applies.",Other Than Satisfied,Retention below the contractual 12 months.,Moderate,RISK-005,FIND-008,POAM-008,POAM-008: Closed,,2026-09-12,2027-07-15,DE,"Closure rests on configuration plus an early indicator. Full 12-month retention can only be demonstrated over time, so the FY27 assessment re-tests the oldest record date."
CA-2,"CA - Assessment, Authorization, and Monitoring",Control Assessments,Moderate,Select an appropriate assessor or team; develop an assessment plan; assess controls at a defined frequency; produce an assessment report; provide results to defined individuals or roles.,Applicable,,Common (organization-wide),WCP-PROD,Priya Raman (Security Compliance Manager),REQ-002; REQ-012,Implemented,Implemented,No,"Annual SOC 2 Type II examination by an independent CPA firm, an annual external penetration test (Lanternworks Security, fictional), and this SP 800-53 assessment (SAP ASMT-SAP-001). Results are reported to the CISO, CTO, and Audit & Risk Committee.",Assessment plan; prior assessment reports; distribution evidence,EVID-025,GRC-Vault:/WCP-2026/CA/EVID-025_soc2-and-pentest.pdf,Operating Effectiveness,"Examine, Interview","Examined the SOC 2 report (unqualified; 1 exception noted in change management), the 2025 pentest summary (2 High findings, retest closed), and this engagement's SAP. Expected: independent assessments at a defined frequency with results reported. Actual: met. Note: SOC 2 does not test 800-53-specific requirements, which is why this engagement exists.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,GV,
CA-3,"CA - Assessment, Authorization, and Monitoring",Information Exchange,Moderate,"Approve and manage information exchanges using defined agreement types; document interface characteristics, security and privacy requirements, controls, and responsibilities in the agreements; review and update them at a defined frequency.",Applicable,,System-specific,"SYS-01, SYS-05",Liam Porter (Data Engineering Manager),REQ-018; REQ-021,Implemented,Implemented,No,"Each interconnection has an agreement (BAA plus interface or data-sharing specification). The Quarrystone Data Sharing Specification v2 documents the fields, transfer method, schedule, encryption, and contacts. Customer EHR interfaces use per-customer interface specs.",Interconnection inventory and agreement for each exchange,EVID-026,GRC-Vault:/WCP-2026/CA/EVID-026_interconnection-agreements.zip,Design,Examine,"Examined agreements for Quarrystone and 3 sampled customer EHR interfaces. Expected: signed agreement with security requirements and responsibilities for each exchange. Actual: all 4 present and signed. The Quarrystone spec's contents (excess fields, no US-only clause) are covered as vendor-risk issues under SA-9 (FIND-016), not as a missing agreement.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,GV,"The determination separates having an exchange agreement (CA-3, met) from the adequacy of the vendor's terms (SA-9, not met)."
CA-5,"CA - Assessment, Authorization, and Monitoring",Plan of Action and Milestones,Moderate,Develop a plan of action and milestones documenting planned remediation of weaknesses found during control assessments; update it at a defined frequency based on assessment and monitoring results.,Applicable,,Common (organization-wide),WCP-PROD,Priya Raman (Security Compliance Manager),REQ-002,Implemented,Implemented,No,"Before 2026-08, weaknesses were tracked in a Jira ""SECISSUE"" project with owners and due dates (SOC 2 remediation). Since 2026-08-07, the formal POA&M (poam/poam.xlsx) has been baselined, has milestones and SLAs, is reviewed biweekly, and is reported monthly to the CISO.",POA&M; update history; evidence that items come from assessments and monitoring,EVID-027,GRC-Vault:/WCP-2026/CA/EVID-027_secissue-export.csv,Implementation,Examine,"Examined the prior Jira tracking (37 items, 100% with owner and due date; 4 overdue) and the new POA&M. Expected: all assessment weaknesses tracked with milestones. Actual: met. All 19 findings are in the POA&M, including the risk-accepted item.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,GV,
CA-7,"CA - Assessment, Authorization, and Monitoring",Continuous Monitoring,Moderate,"Develop a system-level continuous monitoring strategy and implement monitoring with defined metrics, frequencies, ongoing assessments, correlation and analysis, response actions, and status reporting.",Applicable,,Common (organization-wide),WCP-PROD,Alicia Moreno (CISO),REQ-002; REQ-012,Implemented,Implemented,No,"Operational monitoring is in place (Security Hub CIS checks, weekly vulnerability scans, GuardDuty and MDR, a monthly security metrics deck to the CTO). There is no formal written ISCM strategy document, and metrics were not tied to control objectives until the dashboard built in this engagement.",ISCM strategy; monitoring outputs; reporting to management,EVID-028; EVID-058,GRC-Vault:/WCP-2026/CM/EVID-028_securityhub.csv; GRC-Vault:/WCP-2026/SI/EVID-058_monitoring.zip,Operating Effectiveness,"Examine, Interview","Examined 6 monthly metric decks and the Security Hub history. Expected: defined metrics reported at a defined frequency with response actions. Actual: monitoring and reporting operate. The CSPM alert on wf-sftp-01 went untriaged for 43 days, and that failure is recorded under SC-7/FIND-012. The strategy document gap is recorded as OBS-05.",Satisfied,No written ISCM strategy (observation).,Low,RISK-016,,,n/a,OBS-05,2026-07-17,2027-07-15,GV,
CM-2,CM - Configuration Management,Baseline Configuration,Moderate,"Develop, document, and maintain a current baseline configuration under configuration control; review and update it at a defined frequency and when components are installed or upgraded.",Applicable,,System-specific,SYS-01,"Tomasz Wierzbicki (Director, Platform Engineering)",REQ-001; REQ-023,Implemented,Implemented,No,"Infrastructure is defined in Terraform (baseline repo, PR-reviewed). EKS nodes use a hardened AMI (CIS Level 1) rebuilt monthly. Container base images are pinned and rebuilt weekly. The legacy hosts (wf-sftp-01, legacy-reports) have no managed baseline, which is recorded under SA-22.",IaC baseline; AMI build specification; drift reports,EVID-029,GRC-Vault:/WCP-2026/CM/EVID-029_baseline.zip,Implementation,"Examine, Test","Examined the Terraform baseline and the AMI pipeline. Ran a drift check on 3 sampled modules (VPC, EKS, RDS). Expected: live config matches IaC. Actual: no drift in the sampled modules. The legacy hosts are outside IaC and are covered under SA-22.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,PR,
